iter	RMSE
292	0.1500126929
293	0.1497017602
294	0.1489805045
295	0.1481987628
296	0.1480498127
297	0.1477367944
298	0.1473235349
299	0.146464266
300	0.1456624144
301	0.1455270636
302	0.1451277895
303	0.1441749848
304	0.1435952215
305	0.1427630668
306	0.142048114
307	0.1413966535
308	0.1404830164
309	0.1399632715
310	0.1394781706
311	0.139257088
312	0.1385740001
313	0.1381148377
314	0.1373919089
315	0.1367309951
316	0.1360929148
317	0.1354660682
318	0.1346714724
319	0.1341786591
320	0.1339392974
321	0.1334640534
322	0.1329289658
323	0.1324580198
324	0.1318812656
325	0.1309204551
326	0.1304117427
327	0.1298330814
328	0.1297279045
329	0.1289623856
330	0.1288464169
331	0.1280911211
332	0.1277489457
333	0.1271878583
334	0.1271145976
335	0.1266967001
336	0.1264470073
337	0.1258403413
338	0.1254800284
339	0.1249121736
340	0.1242238493
341	0.1239003802
342	0.1231789228
343	0.1229724179
344	0.122513296
345	0.1220001698
346	0.121390934
347	0.1211104679
348	0.1205005262
349	0.1200103729
350	0.1196719482
351	0.1194410674
352	0.1187738192
353	0.118350392
354	0.1181897471
355	0.1174802461
356	0.1167418169
357	0.1161476582
358	0.1160843926
359	0.1159301168
360	0.1153580199
361	0.1152680844
362	0.1148289141
363	0.1147931555
364	0.1143702366
365	0.1138174969
366	0.1135376513
367	0.1131854498
368	0.1128973728
369	0.1123932375
370	0.1118792723
371	0.1118283169
372	0.1114627428
373	0.110953589
374	0.1106740335
375	0.1105434006
376	0.1102734165
377	0.1096634818
378	0.1092460028
379	0.1088150047
380	0.1083769581
381	0.1078665838
382	0.107648853
383	0.1071322161
384	0.1066254413
385	0.1061046266
386	0.1060616264
387	0.1055173067
388	0.105228092
389	0.1050368132
390	0.1047585311
391	0.1045155873
392	0.1042442469
393	0.1038623974
394	0.1034597044
395	0.1029792852
396	0.1027838627
397	0.1027509009
398	0.1024369414
399	0.1020012738
400	0.1015338221
401	0.1012618035
402	0.101112514
403	0.1004928786
404	0.1001228532
405	0.09958399972
406	0.09929659532
407	0.09884252323
408	0.09856954657
409	0.09817372433
410	0.09800873691
411	0.09754297903
412	0.09728526508
413	0.09670407869
414	0.09615920664
415	0.09600468645
416	0.09596019221
417	0.09559459239
418	0.09542451446
419	0.09520635972
420	0.09505669031
421	0.09467262045
422	0.0942739021
423	0.09410612936
424	0.09382336619
425	0.09334312497
426	0.09289357731
427	0.09241423048
428	0.09185125414
429	0.09172266674
430	0.09142990667
431	0.09105561374
432	0.09090650656
433	0.09064784903
434	0.0903928936
435	0.08997393194
436	0.08987237774
437	0.08977558281
438	0.08968316299
439	0.08957223145
440	0.08922544848
441	0.08891122391
442	0.08850520008
443	0.08815374364
444	0.08785062202
445	0.08772665798
446	0.08739586495
447	0.08715174262
448	0.08711930615
449	0.08676585507
450	0.0863699828
451	0.08607678412
452	0.08595803948
453	0.0855407079
454	0.08545847956
455	0.08519241382
456	0.08490130635
457	0.08461219478
458	0.08420398204
459	0.08397114958
460	0.08364681721
461	0.08350726618
462	0.08323951411
463	0.08280920989
464	0.08267953951
465	0.08232922439
466	0.08211244435
467	0.08194452246
468	0.08176109917
469	0.08135544377
470	0.08126576312
471	0.08112149101
472	0.08083677644
473	0.08062100465
474	0.08050607285
475	0.08015362553
476	0.08013544374
477	0.08010689811
478	0.07978909628
479	0.0794914721
480	0.07919274463
481	0.07900062126
482	0.07889621116
483	0.07871511229
484	0.07849923724
485	0.07820937315
486	0.07795846001
487	0.07762028752
488	0.07714653139
489	0.07695203252
490	0.07687102172
491	0.07667300767
492	0.07638225593
493	0.0763640275
494	0.07608433857
495	0.0757901069
496	0.07553895344
497	0.07552523658
498	0.07524614372
499	0.07514160079
